class,sc,omc_sc,cov_gap
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/YearMonth.html>org.joda.time.YearMonth</a>,97.45763,55.084747,42.37288
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/ReadablePeriodConverter.html>org.joda.time.convert.ReadablePeriodConverter</a>,100.0,60.000004,39.999996
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/OffsetDateTimeField.html>org.joda.time.field.OffsetDateTimeField</a>,94.117645,79.411766,14.705879
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/GJMonthOfYearDateTimeField.html>org.joda.time.chrono.GJMonthOfYearDateTimeField</a>,100.0,50.0,50.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/Years.html>org.joda.time.Years</a>,100.0,86.206894,13.793106
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/convert/ReadableIntervalConverter.html>org.joda.time.convert.ReadableIntervalConverter</a>,100.0,93.75,6.25
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BasicWeekyearDateTimeField.html>org.joda.time.chrono.BasicWeekyearDateTimeField</a>,82.14286,26.785713,55.357147
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/Days.html>org.joda.time.Days</a>,100.0,82.432434,17.567566
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/DateTimeField.html>org.joda.time.DateTimeField</a>,100.0,100.0,0.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/field/FieldUtils.html>org.joda.time.field.FieldUtils</a>,92.30769,56.41026,35.897434
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/chrono/BasicSingleEraDateTimeField.html>org.joda.time.chrono.BasicSingleEraDateTimeField</a>,35.0,10.0,25.0
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/format/DateTimeFormat.html>org.joda.time.format.DateTimeFormat</a>,58.999996,26.666668,32.33333
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/format/ISODateTimeFormat.html>org.joda.time.format.ISODateTimeFormat</a>,91.79894,42.32804,49.4709
<a href=https://zenpoet.github.io/omc/clover//org/joda/time/Partial.html>org.joda.time.Partial</a>,99.203186,49.003986,50.1992
